Gene,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355,Symbol
Smad3,690,739,335,857,608,1120,392,307,902,512,199,152,228,212,356,65,Smad3
Creb5,202.53646,151.1601,99.5238,141.578,251.85096,296.5033,96.1803,140.50415,234.1638,205.0524,115.905,100.211,109.115,107.646,99.4318,20.1407,Creb5
Rimkla,19,32,10,15,12,77,32,10,46,24,1,4,3,4,8,0,Rimkla
Manea,656,621,621,790,863,672,320,571,512,820,499,472,495,578,369,101,Manea
Ica1,175.0001,218.0002,109,303.0001,173.00007,285.0001,144.0002,136,251,231,97,85,105,105,129,19,Ica1
Secisbp2l,1855,1910,1599,2144,2394,3206,1163,1438,2280,2065,1376.71,1408,1219,1459,1465,294,Secisbp2l
Invs,72,75,24,63,87,174,42,43,144,50,11,28,17,18,50,15,Invs
Cc2d1b,356,393,181,536,296,1096,223,218,991,325,114,76,108,167,219,19,Cc2d1b
Mks1,81,102,45,126,59,223,47,32,186,83,19,15,17,29,65,3,Mks1
Strada,207,229.0002,78,258,163.9997,680.999645701,120.9999,86,592,200,40,33.000031599,37,65.00002,141.99971,18,Strada
Angptl3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Angptl3
Pabpc1,4857.997,4879.004,3199.003,6754.998,4911.998,7019.002,3169.004,3254.005,6019.999,5365.999,2424.999,2216.001,2550.996,3086.002,3198.004,522.00001,Pabpc1
Gnpnat1,748,685,645,1159,634,597,296,607,325,820,423.0000425445,438.000110268,471.9997,427.0003094,314.0005,72,Gnpnat1
Snx11,279.0003,282.0001,112.99998,356.0004,194.99991,757.9997,183.9999,129.00008,579.0009,213.00007,53.99997,36.999956,54.000031483,94.99999,129,25.000003,Snx11
Rars2,360,356,217,515,347,403,145,286,336,326,157,172,144,177,245,24,Rars2
Nkx2-1,28.9925,20.8049,27.8049,39.4787,33.7847,25.6353,31.5392,22.9046,11.0444,28.7727,20.1251,24.2283,18.0309,13.3477,26.5505,0,Nkx2-1
Phip,741,836,881,598,1384,991,654,816,974,1093,894,801,774,1049,833,190,Phip
Snca,24,46,4,22,22,49,19,13,36,31,7,4,2,2,4,0,Snca
Mitf,1261.9167,1371.6658,1181.86525,1927.32925,1901.9779,2170.337,662.1315,1168.0237,1643.41,2139.12957,785.28617,925.746,908.605,1079.54202,926.61683,238.13098,Mitf
Arhgap21,5425,5316,3757,6015,6748,11480,3060,3802,10564,6171,2213,2163,2488,2796,3701,684,Arhgap21
Nat10,290.9997,331.0001,147.999838,337.9995,254.9997,624.0002315116,186,176,581.9995,267.9998,64,66,105.99961455,140,186,37,Nat10
Ncl-ps1,60.8466,84.4362,114.272,223.368,95.8804,55.4555,0,113.742,49.8345,138.789,347.042,666.873,195.043,48.9987,69.5668,0,Ncl-ps1
Etl4,1704,1867,1148,1905,2176,3750,965,1320,3104,2123,1007,1155,1078,1253,1315,227,Etl4
Pbp2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Pbp2
Vsig8,0,1,1,5,0,10,1,4,4,0,0,0,0,0,1,0,Vsig8
Chmp5,1299,1272,1059,2261,1626,1997,1031,1146,1736,1585,1079,1175,1090,1390,1080,183,Chmp5
Arpc3,807,854,333,1154,594,1556,517,378,1470,682,220,156,239,322,417,66,Arpc3
Prdm11,92,97,45,81,126,355,74,60,278,91,33,19,25,38,56,13,Prdm11
Emp1,8070.9956,7355.9972,4840.99605,12090.0423,8048.0029,8132.995,3434.0037,4839.00144,5969.001,7570.9981,3773.00068,3578,3386,3336.9994,2901.9953,604,Emp1
Antxr1,472,448,224,394,456,767,242,214,590,333,144,138,183,205,196,12,Antxr1
Loxl1,234,320,68,326,209,1627,156,90,1005,151,34,32,45,51,80,12,Loxl1
Alk,5,9,3,0,3,13,0,2,9,0,0,0,1,0,0,0,Alk
Tigd5,6,13,1,8,3,72,3,2,63,11,1,0,1,2,2,0,Tigd5
Usp45,742,743,681,713,972,960.226,409,601,862,874,547,501,641,657,457,91,Usp45
Cbx1,636,523,348,724,520,593,294,264,540,494,209,163,218,236,303,79,Cbx1
Cilk1,453,399.0001,269,557,556,892,257.0004,280.0004,801.0002,565,220.9996,239,196.9995,242.0001,330.0004,83,Cilk1
Tssk3,4,12,6,6,6,42,20,4,32,11,1,1,5,10,6,2,Tssk3
Miox,156.745,133.812,106.327,183.349,194.561,188.673,73.7815,100.021,156.718,188.452,77.3234,69.2231,103.993,115.53,99.0003,25.5963,Miox
Nopchap1,102,130,69,170,88,202,80,58,167,130,43,58,66,34,92,10,Nopchap1
Ccn3,431,538,252,436,398,533,209,284,471,405,256,243,203,194,224,27,Ccn3
Cryba1,0,3,0,1,0,0,0,3,1,1,1,2,0,0,0,0,Cryba1
Rnps1,1065.99,1216,672,1726,1091,2116,789,708,1946,1156,382,384,460,574,746,168,Rnps1
Tmem97,971,965,888,1609,1274,1444,473,771,991,1182,582,632,577,673,612,92,Tmem97
Tbx3,127.00017,146.0004,73.99997,206.9999,86.99996,355.9996,73,67.00004,306.9998,143.0001,63,54,39,75.00003,117.00019,13,Tbx3
Epx,0,2,0,2,1,5,0,1,4,1,0,0,0,0,0,0,Epx
Arhgap32,415,399,214,409,464,1039,260,295,864,514,231,204,242,275,315,78,Arhgap32
Med24,610,738,236,623,479,1719,362,196,1438,552,116,94,122,169,386,67,Med24
Tmem268,185,228,104,221,282.99952,474,124,129,421.9995,230.00015,69,65,95,101,173.0003,17,Tmem268
Slc41a2,95.0533,80.2813,37.0267,97.2658,71.066,130.122,62.086,33.1536,85.0927,72.0777,43.0827,20.024,52.07,28.034,40.0457,2.00384,Slc41a2
Svs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svs1
Nefh,0,2,2,2,1,7,0,1,3,2,0,0,1,0,2,0,Nefh
Wbp1,362.874,477,122,432.556,250.6346,1595.479,289,164.9996,1390.534,293.7822,56,46.000000438598,81,86,262,65,Wbp1
Crnn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crnn
Slc37a3,778.6,902.073,495.576,1141.41,784.789,1326.75,372.318,493.181,1199.48,910.277,369.078,256.642,362.49,448.599,567.662,99.5302,Slc37a3
Unc79,14,22,6,20,31,39,22,10,30,17,6,2,5,1,4,2,Unc79
Lsm3,751,737,415,1277,546,838,453,379,753,775,365,288,441,419,594,93,Lsm3
Zmym2,1952.88,2122,2132,3013.38,2915.57,2042,1230,2071,1864,2539,1830,1871,1749.81,2015,1748.47,298,Zmym2
Slamf8,100.008,105.326,46.5431,199.247,81.7957,162.707,66.4595,66.9682,160.092,60.1683,59.3945,42.4317,43.7199,36.9995,61.164,1.00588,Slamf8
Tbc1d21,4,1,1,1,5,2,1,1,9,1,1,0,0,2,6,0,Tbc1d21
Tp53i11,507.503,486.518,151.862,559.805,300.445,1936.54,337.907,166.22,1509.6,256.674,54.5752,52.9843,58.9453,81.2126,118.096,25.2578,Tp53i11
Or11j4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or11j4
Camsap2,1798,2008,1489,2509,2431,2434.99745,1057,1620,2146.9988,2417,1242,1253,1258.99919,1659,1334,265,Camsap2
Cops2,4732,4442,4499,6290,5835.96,4183.85,2202.515,3776.99,3385.998,5999,4141,3924,4115,4399.97,3413,538,Cops2
Dtd1,243,249,101,300,226,445,100,150,363,278,59,91,108,105,207,58,Dtd1
Plekha5,896,978,545,1133,1610.996,2076,944,838,2747.004,1294,735,561,682,961,889,206.9997,Plekha5
Pex2,1156,1086,766,1673,1125,1154,629,666,1006,1098,550,506,589,676,693,81,Pex2
Col5a1,964.0001,1208.0016,269.00042,746.0004,767.9998,7414.004,924,389.99967,5647.004,738.00041,81,62.00001,131,242.99978,331.00032,86,Col5a1
Nrf1,234.9996,272.9999,113.00009,273,191.9995,569.9997,111,146.0001,520.9997,217.9997,91,93.99998,73,118,149.9999,21,Nrf1
Flvcr2,180,134.0004,65.99999,237.00023,127.0001,258.0004,99,82,227.9995,153.9996,30,27,47.99997,29,83,11,Flvcr2
Acox1,8031.002,8764.996,5404.005,10521.03,9780.996,15638.97,5250.003,5644.002,14045.03,10835.033,3902.997,3926,4357.003,5650.004,7557,1059.0003,Acox1
Tmem218,485,526,297,729,432,715,170,332,443,413,113,130,198,213,279,70,Tmem218
Tspan18,1635.13,1831.08,453.406,1703.05,1500.29,3858.81,1109.25,539.536,2913.29,1408.09,445.571,493.526,529.315,642.858,748.098,191.339,Tspan18
Csf3r,77.2418,51.0001,39.132,88.2778,61.0412,104.217,75,54.1825,121.231,74.0851,28,20.0001,18.0394,46.1309,38.5167,23,Csf3r
Otud5,912,967,472,1196,921,2028,685,584,1695,961,369,275,375,448,640,120,Otud5
Zfhx4,6,7,7,9,5,8,1,4,15,4,2,6,5,4,3,3,Zfhx4
Grin2b,0,1,0,1,0,1,1,0,3,1,0,0,0,0,0,0,Grin2b
Atg4c,190,196,162,287,212,212,90,164,204,256,143,112,158,169,156,44,Atg4c
Lrguk,2,0,0,2,3,0,1,1,1,7,3,0,0,0,0,0,Lrguk
Erg28,195.976,212,119.968,259,186.939,391.874,179,114.983,313.73,214,93,77.9753,98.971,94,113.948,34,Erg28
Pnisr,3318,3613,2691,4135,4220,4430,2004,2876,3493,3582,2260,1974,2385,2562,2406,489,Pnisr
Klf5,33.999985498,55,52,95,67,94.999962,41.99998,79,65,86,59,48,79,43,42.0000000285019,1,Klf5
Ap1b1,922,1081,364,965,577,2825.002,567,375,2045.999,673,133,124,162,215,340,54,Ap1b1
Pals1,816.655,870.2794,741.9269,1050.0036,1111.95537,965.4344,305,681.9683,867.523,1352.7888,554.938,562.00017,565.9343,689.9523,604.5831,98,Pals1
Gdap1l1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Gdap1l1
Ube2e1,919,813,576,1308,861,945,550,574,809,876,548,515,589,510,626,86,Ube2e1
Tmpo,1456,1443,1096,2420,1710,1827,867,1089,1426,1784,892,831,866,1162,1125,215,Tmpo
Pipox,9,9,12,17,2,40,0,2,7,17,0,2,4,0,6,0,Pipox
Dnajc11,647.9997,866.9997,251.9999,829.0003,462.0001,2062.0004,510.99965,299.00023,1761.00115,644.9997,104,95,125,162.9996,353.99952,68,Dnajc11
Or11h23b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or11h23b
Clip4,1372,1310.996,829,1390,1425.005,2218.002,826,752,1682.998,1018,381,456,597,880,978,149,Clip4
Rp1,631,536,415,524,686,562,235,322,410,581,448,409,351,592,248,68,Rp1
Nsmf,121.00003,163.0001,34,155.99964,81,651.9998,80,30.99996,527.9998,93,20.0000126616,16,24,23.99996,62,24.999960367722,Nsmf
Tmem214,503,558,125,424,302,1703,307,160,1407,378,53,29,74,123,237,33,Tmem214
Setl1,0,0,0,2.00533,0,3.00804,0,0,0,0,1.00262,0,0,3.01458,1.0018,0,Setl1
Fbxo46,49,43,28,86,46,312,70,20,193,37,17,21,22,32,14,6,Fbxo46
Gpnmb,295,282,158,468,298,546,239,159,520,297,140,135,131,131,280,22,Gpnmb
Krt84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Krt84
Fkbp1a,7213,7338,3950,10811,6449,8851,3913,4119,7414,7534,2606,2242,2807,3566,4081,820,Fkbp1a
Vax1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vax1
Ssrp1,1706.996,1749.99985434,704.99957291,2142.9996,1325.001061,2673.0012,1052.9967,789,2438.997,1637.99714203,409,294.0000574291,451,634.9997599,1068,253.9999,Ssrp1
Sorbs3,656,634,229,671,387,2723,380,206,2206,551,98,63,102,159,356,104,Sorbs3
Nfe2l1,2731,3319,1191,2931,2821,9146,2369,1403,9897,3338,854,657,909,1330,2237,381,Nfe2l1
Hcn2,482,543,128,508,224,2431,321,121,1262,285,18,24,37,42,91,40,Hcn2
Dach1,213,220,122,179,183,358,106,128,343,248,103,75,78,99,143,38,Dach1
Ass1,26.99999,20,2.000002,12,19,41.99996,17,6,76,28,2,0,3,4,7,0,Ass1
Gkn1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Gkn1
Pparg,228.0002,248,132,235,218,288.9998,182.9997,127,399,214.0002,161.9999,133.0003,112,235.0005,217.9995,40.0000000979092,Pparg
Orc1,40,23,16,35,32,43,10,5,21,24,14,6,4,10,19,5,Orc1
Cyp4a8,9,4.64788,9.11051,12.2153,9.6652,13.9683,0,3.15953,2.25064,7.3394,10.3768,7.81342,3.3375,8.05992,5.4047,2,Cyp4a8
Eci1,1727.00206,1946,599,2243,1897,8709.00713,2062.9957,945,10972,2519.0009,517,396.00011,764,1249,2213.99649,358,Eci1
Plag1,229,248,157,180,349,346,129,217,368,402,170,188,238,242,317,35,Plag1
Gja3,105,123,109,124,92,485,70,118,407,119,42,44,58,65,62,8,Gja3
Guca2a,0,1,0,0,2,2,0,0,0,3,0,0,0,0,2,0,Guca2a
Ttc5,395,427,166,553,316,884,233,182,828,361,118,96,121,176,245,56,Ttc5
Slc35b4,516,614,227,620,433,808,340,188,597,410,134,90,159,187,236,50,Slc35b4
Gjb2,2,9,6,15,1,10,16,0,19,9,13,8,5,6,7,7,Gjb2
Adamts10,447,440,94,412.0005,316.9997,2346.001,257.00035,163,1684.002,328.9997,70,36,66,108,226,43,Adamts10
Tank,743,798,662,1133,829,799.0003,443.00037,607,603.0001,799,448,509,527,559,522,93,Tank
Cyld-ps1,197.202,182.58,120.304,207.604,194.67,246.628,137.24,87.7962,259.917,187.2,86.0573,86.871,84.5133,103.628,90.129,8.49872,Cyld-ps1
Abcg4,8,7,3,4,7,32,19,1,39,5,0,1,1,0,3,0,Abcg4
Stac,5,5,1,3,1,10,13,3,16,4,3,3,5,2,3,0,Stac
Dusp19,103,111,66,132,97,193,79,47,141,98,26,33,20,46,76,5,Dusp19
Ppp1r9a,118,165,98,108,163,281,67,110,203,154,56,49,56,85,109,24,Ppp1r9a
Atf7ip,803,1160,661,870,947,2055,774,661,1815,1060,422,414,497,600,742,203,Atf7ip
Sdr16c5,2,8,2,6,21,4,3,4,0,7,4,5,8,8,6,0,Sdr16c5
Tmem68,343,346,248,500,399,353,162,244,300,421,247,180,171,228,207,62,Tmem68
Ino80b,59.4162,14.8447,14.9755,0,15.3126,259,69,15.3029,175,30.0624,0,0,0,0,15.0321,0,Ino80b
Nrk,120.00004,149.00026,109.000024,103.000022,151.99989,158.000408,142.00008,52.00008,92.00003,68.00001,95.00003,58.00003,52.000055,41.00002,45.00004,0,Nrk
Mmp1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mmp1b
Chst11,17.9999544456,15,4,14,6,68,9,4,39.99997,26,3,0,2,7,10,0,Chst11
Slc18a2,175,174,152,328,156,153,92,110,107,214,155,145,137,136,107,35,Slc18a2
Ift20,470.721,533.032,245.541,757.738,432.185,748.872,322.257,267.024,648.048,415.688,161.939,132.102,171.307,215.491,267.687,13.2101,Ift20
Parp2,383,400,232,554,343,601,244,206,492,353,133,128,141,183,261,56,Parp2
Hnf4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hnf4a
Gga1,426,577,109,425,258,2597,344,187,2176,357,34,36,63,96,273,57,Gga1
Trmt44,67,74,28,73,72,181,29,33,167,56,19,12,22,18,50,5,Trmt44
Coro2a,4,0,1,3,3,3,0,2,12,0,3,1,1,1,1,0,Coro2a
Pon1,5,0,1,0,2,0,4,0,2,0,0,6,1,6,1,0,Pon1
Fli1,490,464,188,487,453,1265,334,233,1254,424,160,101,144,167,384,76,Fli1
Fggy,306,333,156,368,259,528,188,165,529,299,88,66,95,145,289,57,Fggy
Slc35a1,648.0488,718.011,559.0245,1015.081,862.421,761.736,383.0307,555.1724,586.04,924.356,460.5028,397.921,506.3855,547.0854,395.571,139.775,Slc35a1
Draxin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Draxin
Aqr,824,951,608,1084,974,1262,545,621,1156,947,406,355,427,579,586,69,Aqr
Prima1,69,64,21,50,28,151,42,25,150,51,4,13,11,10,19,4,Prima1
Ehbp1,1878,2429,1463,2853,2118,2389,1109,1320,2290,2047,1005,929,1052,1246,1218,279,Ehbp1
Arpp21,29.05899,22.09221,21.04227,45.068500028161,14.01886,27.00001,16.026800047837,26.05009,38.0504,19.03973,17.0000200207439,11.0000000535499,20.0000000156164,19.05586,30.1494,1.03122,Arpp21
Dynll2,7059,6960,4139,9708,6209,10498,3502,3771,8005,6921,2056,1755,2312,2655,3471,638,Dynll2
Trim14,45,36,18,72.99997,43,67,35.99996,22,66,37.99999,20.99995,14.99999,13.99997,26,24,0,Trim14
Arhgef12,1571.999,1734,959,1319,1707.998,3172,1121,982,2821,2008.004,480,441,650,916,1330,207.9998,Arhgef12
Hbp1,2532,2742,1880,3562,3309,3962,1854,2228,3489,3875,1714,1408,1810,2568,2244,452,Hbp1
Aebp2,374.202,359.104,289.475,526.918,455.414,501.992,260.791,249.718,508.65,352.515,210.159,223.655,230.724,293.929,230.709,63.654,Aebp2
Tnfsf15,2,3,6,7,0,3,6,3,3,8,3,3,4,2,8,0,Tnfsf15
Slc25a21,130,149,94,196,138,136,87,84,50,128,49,86,38,70,40,10,Slc25a21
Ncapd3,314,314,169,361,390,596,202,178,442,313,144,125,112,181,239,78,Ncapd3
Plbd1,2494,2743,1537,3191,2762,4677,1901,1873,4507,3515,972,829,1209,1919,2466,320,Plbd1
Tmem65,1136.606,886.4361,840.7316,1106.7994,1292.9949,2161.2499,726.0518,954.7323,1784.7301,1344.11,545.5056,638.1248,636.4229,529.5044,853.2313,200.48662,Tmem65
Map3k6,35,70,14,39,22,223,22,12,298,28,11,4,5,13,42,1,Map3k6
Csrp1,1990,2145,596,2371,1394,5930,1314,730,4984,1690,349,288,398,543,1142,206,Csrp1
Nxph1,2,9,9,4,3,14,0,0,12,16,0,1,4,2,5,0,Nxph1
Ets1,6437.86,5652.94,3884.32,9055.96,7550.96,9352.91,4034.89,4415.98,8173.83,7331.31,3068.96,3097.92,3116.93,3507.98,4322.95,687,Ets1
Pcare,530,559,225,586,370,1804,299,216,1285,415,75,81,67,72,213,36,Pcare
Penk,2781,1114,459,2343,2443,4981.995,2752.995,805,10204.998,3085,903.0002,1296.004,1290.998,1761.998,1851.996,387.9997,Penk
Ext2,725,820,276,917,605,2074,562,324,1811,727,144,121,166,257,435,79,Ext2
Nans,472,486,220,568,412,1155,218,218,932,433,124,98,125,188,307,72,Nans
Cpz,11,19,4,8,4,109,32,4,137,22,2,2,2,1,10,0,Cpz
Synpo2l,347,502,102,269,266,4023,398,155,3118,338,29,22,37,38,161,47,Synpo2l
Adi1,589,613,361,922,612,805,330,425,678,623,332,346,346,411,392,90,Adi1
Rasl10a,166.9996,184.0004,113,304.0002,196.0004,681.0001,132.0003,130.0005,550.9999,229.9997,63,75,89,80,133,18.99996,Rasl10a
Cdkn2c,120,134,47,163,84,284,61,51,204,82,22,19,43,39,54,15,Cdkn2c
Fgf22,5,9,3,4,5,43,17,0,27,7,2,1,1,0,7,0,Fgf22
Mapre3,570,702,254,700,533,1929,499,292,1941,661,122,110,191,227,451,113,Mapre3
Yae1l1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68291,0,0,Yae1l1
Socs2,1421,1892,1285,3011,1930,2005,980,1299,1719,2191,863,694,891,1062,1371,170,Socs2
Slco5a1,106,160,81,87,146,367,87,97,364,186,29,35,36,65,94,20,Slco5a1
Pcdh17,173,156,76,195,226,511,152,137,445,256,101,139,109,83,81,10,Pcdh17
Hnf4g,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Hnf4g
Mtnr1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mtnr1b
Trmt12,151,139,74,193,103,201,64,82,208,134,44,34,64,52,103,12,Trmt12
Guca2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guca2b
Rbm48,131.754,147.855,113.499,237.894,134.75,151.518,75.2432,106.057,157.194,169.436,111.607,116.378,122.588,137.59,116.386,6.3061,Rbm48
Pdcd6ip,2244,2443,1439,2942,2469,4027,1238,1356,3522,2444,974,847,985,1141,1531,329,Pdcd6ip
Irak1bp1,84,111,54,167,98,141,121,58,140,91,56,57,92,88,61,20,Irak1bp1
Diaph3,94,76,56,131,73,45,44,57,36,48,14,26,23,8,17,1,Diaph3
Ndufb9,1350,1267,1102,1941,1518,1338,686,1083,1085,1592,912,831,872,1086,813,154,Ndufb9
Cyp2d2,0,0,0,1.01778,0,0,0,1,0,0,0,0,0,0,0,0,Cyp2d2
Cryl1,354,407,115,373,225,746,315,141,783,356,50,38,111,98,211,34,Cryl1
Amotl1,238,282,55,158,134,1224,217,84,1090,212,31,16,20,47,143,38,Amotl1
Grik3,0,1,0,1,0,4,0,0,7,0,0,0,0,1,4,0,Grik3
Arpc4,1634,1848,1086,2942,1773,3693,1119,1284,2881,1761,633,549,772,748,962,220,Arpc4
Dpysl5,7,2,3,1.0936,6.91743,21,0,1,21.5768,2,0,5,2.13142,2,1,0,Dpysl5
Foxj2,909.106,1041,506,1136,943,2741.962,662,550,2148.002,987,317,265.0002,288,455,644.248,167,Foxj2
Mtss1,2243.0004,2424.004,1868.9956,3268.9984,2449.0023,4512.999,1189.0028,1484.997,3195.002,2578.0031,1184.0041,1417.0035,1441.9958,1360.9987,1637.9981,337.00023,Mtss1
Lrriq4,0,4,0,0,7,1,0,2,7,5,0,0,5,0,2,0,Lrriq4
Slco2a1,91.6956,128.249,34.9671,66.2205,61.2779,301.674,59.477608,22.5822,319.287,95.2045,16.6741,18.5603,19.80357,16.7037,72.654742613,8.31368,Slco2a1
Ccdc47,4264,4444,2815,5457,4449,5285,2210,2770,4597,4887,2039,1892,2090,2632,2674,530,Ccdc47
Slc35f2,1,2,1,7,1,2,0,1,5,5,0,0,2,0,3,0,Slc35f2
Nfx1,906.837,997.767,486.702,1013.833,868.714,1621.944,526,474.803,1552.152,940.698,319.051,293.0287,392.174,419.709,729.969,119,Nfx1
Slc6a6,454.8866,425.55013,243.294,420.182,986.67312,1791.4147,372.84234,441.11747,1980.216,972.88097,447.93002,388.902,381.167,384.464,570.75851,104,Slc6a6
Gfus,197,227.00044,68,193.9999,116,750.00033,101,73,559.9996,167.00027,27,20,30,64,136,22,Gfus
Rtkn,38.8667,64.5007,19.53,42.5711,17.9063,222.421,33.98,19.0492,181.428,30.4589,6,3.14973,6.74858,10.2863,21.3253,0,Rtkn
Rnf126,23,31,7,27,27,335,20,11,294,27,2,2,7,7,7,2,Rnf126
Nptn,4933,4782,3740,7055,6311,6345,2650.002,3843,4974,6900,2960.001,2906.998,3331.996,3818,3087.996,734,Nptn
Rab19,6,8,4,2,7,14,10,5,15,6,6,1,10,2,6,3,Rab19
Gucy2c,5,8,1,10,4,11,3,7,10,8,3,0,3,6,12,0,Gucy2c
Ttll3,22,26,6,11,4,92,7,6,63,4,1,1,2,1,7,0,Ttll3
Cntn2,18,25,4,16,8,85,26,5,76,21,1,2,3,2,14,0,Cntn2
Tdrd3,372,484,308,532,437,520,343,329,489,507,245,196,237,293,298,56,Tdrd3
Malsu1,600,619,410,1051,579,765,395,473,621,535,248,212,321,392,438,69,Malsu1
Sulf1,1186.001,1335.003,716.9996,1570.0023,1261.004,2023,626,789.9996,1870.001,1350.001,585.0002,484.00028,596.9996,765.9998,769.9998,97,Sulf1
Trappc12,487,503,235,532,393,1399,310,251,1135,486,120,101,160,175,289,72,Trappc12
Gas2l1,26,29,6,20,22,378,19,9,289,19,3,0,2,1,14,0,Gas2l1
Sec24c,1790,1872,749.00000001688,2074.000701362,1412.00000242078,3842.004,1069,770,3390.9964,1747,373,268.00019113,444.000235262,587,1054.0042,158.00000149198,Sec24c
Piwil4,25.3217,12,11.1277,28,21,21.99997,18,8.07638,19,14.0571,15.191,4,5,8,9.13964,4,Piwil4
Alg6,259,234,176,195,316,282,113,193,208,259,155,131,161,176,167,29,Alg6
Phf13,124,126,45,180,103,364,57,73,313,123,42,23,30,50,113,19,Phf13
Sln,148,666,24,120,48,951,62,48,15,93,55,8,12,24,44,12,Sln
Usp11,303,344,183,422,298,590,178,180,532,343,100,108,116,160,260,53,Usp11
Amn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amn
Igf2bp3,12,25.00003,17,26,40,103.99992,0,20,92,73,11,25,5,15,51,0,Igf2bp3
Elmod1,2,1,0,6,0,1.00238,0,0,1,2.0057,1.00148,0,0,1,0,2,Elmod1
Spata21,3.13028,3.03501,0,1.01526,0,20.2397,0,0,13.1528,4.04808,0,1,0,3,5,0,Spata21
Cfap206,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Cfap206
Dnajc15,3673.0037,3910.9998,2887.00201,7207.0007,2842.0018,4366.9968,2044.9952,2505.00256,3177.0038,3441.005,1503.0038,1054.99918,1606.00287,2023.0022,2081.0041,368,Dnajc15
Thra,906.873,1079.454,304,892.797,621.871,3443.83,613.299,325.112,2912.98,677.849,135,107.3253,136,174,461.255,88,Thra
Phlda3,178,227,45,219,126,773,130,67,684,158,18,14,28,37,108,15,Phlda3
Tnfaip1,3040,2987,1658,4212,2842,4591,1548,1087,4194,2710,943,905,1034,1404,1776,274,Tnfaip1
Gripap1,825,848,331,828,536,1890,388,354,1473,700,157,139,193,240,354,69,Gripap1
Otub1l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otub1l1
Tnni1,16.0000358,17,5,10,5,56,28,5,49,10,1,1,4,1,28,1,Tnni1
Trim13,121,105,71,158,102,127,69,71,85,107,57,27,61,53,62,21,Trim13
Ttpal,255.013,310.141,160.019,426,235.017,427.123,207.042,201.047,380.135,323.117,91,62,76,119.034,156.015,73.0382,Ttpal
Mrpl37,1712.999,1708.9961,842,2283.00415,1215,2900.9958,860,755,2226.004,1416,300.9999,243,418.99972,549.00045,736.9998,173,Mrpl37
Prkar2b,319.9999,289.0004,193.99962,388,316,302.0004,96.000033,157.0002,307.0005,305.000127,256.00019,165.9997,169.00036,213.000000820492,149.0004,38,Prkar2b
Atp6v1d,3829,4185,2595,5994,3404,4566,2246,2345,3816,3784,1448,1320,1586,1962,2016,315,Atp6v1d
Rpusd3,53,64,15,51,44,492,50,22,385,56,8,9,7,7,48,10,Rpusd3
Prkag2,949,1176,697,1421,1067,1661,742,772,1206,1187,495,410,528,549,711,87,Prkag2
Apcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apcs
Txnrd1,1433.003,1615.996,954.0004,2252.9987,1561.997,3020.00000140459,892,1320.9987,2422.00000135008,1963.997,718,638,777,914.9998,1063,188,Txnrd1
Dad1,711,797,196,854,462,1729,355,215,1342,549,77,54,110,173,403,62,Dad1
Nudt4,10276,13906,9401,18137,14176,12433,7039,10140,9261,13768,6722,6726,7222,8399,5313,1385,Nudt4
Pon3,165,127,114,246,192,197,65,125,180,140,152,98,115,140,137,18,Pon3
Immt,10699,11888,6456,13933.98,8736,14168,5409,5591,11667,10129,2511.001,2169.003,2996.997,3938.999,4582,889,Immt
Fermt2,6757,6645,3715,8026,5841,8881,3403,3541,7292,6004,2431,2239.003,2524.995,3178,3632,812,Fermt2
Chrac1,466,469,180,587,387,1669,336,232,1445,410,125,88,144,155,272,44,Chrac1
Fnip1,1468,1485,1569,1877,2647,1807,811,1903,1611,2678,1293,1523,1378,1632,1261,287,Fnip1
Krt90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Krt90
Psen1,508,560,234,449,488,1021,285,180,889,560,141,100,154,221,303,38,Psen1
Pon2,1530,1632,1066,2735,1796,2154,975,1199,1696,1958,958,856,978,1221,1211,228,Pon2
